,Number of Atoms,Reciprocal,Time,Reciprocal(Integral),Time.1,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time.2,error.1,Real,Real(lammps),Time.3,Total(lammps),Total,Elong(lammps)
0,200,8537.094042132514,0.0273638828,8537.094161644185,0.021736110000000003,0.0001195116725282,27.44378911256539,8092.516214419526,0.032553092,444.5778277129866,1371.7959581011376,1371.7613,9.5449e-05,1785.4417,1785.5282039031888,413.68036
1,400,24942.128516779507,0.1059596494,24942.1279000087,0.037414847200000004,0.0006167708110298,64.62026122816258,24342.852467804263,0.038935310599999995,599.2760489752466,4533.967868221958,4533.7298,0.0003565958,13229.106,13229.372792340548,8695.3767
2,600,16858.918724573774,0.24568642879999997,16858.918248854116,0.05370283420000001,0.00047571965915280004,78.02254031758653,16202.399652055587,0.0469813664,656.5190725181907,1559.565722509061,1559.9991,0.0007590288000000001,-5951.2131,-5951.600941908546,-7511.2122
3,800,23377.60161211184,0.43361042679999995,23377.6019748649,0.078915542,0.0003627530597442,81.76602330195405,22280.717817000743,0.055952513,1096.8837951110922,-3801.4906744525106,-3801.5667,0.0015143994000000002,-12917.467,-12917.336247662519,-9115.9007
4,1000,13144.864811415737,0.6949233041999999,13144.863664465218,0.1163198584,0.0011469505185233999,83.56674332584632,12029.786981260899,0.0657464334,1115.0778301548387,-2199.667595366967,-2199.8632,0.0022157028,-29671.886,-29671.611765603542,-27472.023
5,1500,29109.561770970344,1.4408895529999999,29109.561266418208,0.1584111308,0.0005045521342254,89.00537483122551,26745.785428735067,0.09365307599999999,2363.7763422352787,-363.45826206520195,-364.06602,0.0048672352,-32179.811,-32179.10996357332,-31815.745
6,3000,79924.1753946291,5.6827016322,79924.17652476154,0.4134713208,0.0011301324382656,92.72249773609602,78133.8067188106,0.2295856906,1790.3686758185127,-2185.9424266516226,-2184.4484,0.018262196,-44110.817,-44112.19397697945,-41926.368
7,6000,83000.13524355898,24.679695546599998,83000.1403569607,1.1241378994000002,0.0051134017179720005,95.44481216822517,79491.65768971028,0.7221137634000001,3508.477553848684,-142208.5073567605,-142202.86,0.072447335,-302903.8,-302909.2260031153,-160700.93
8,12000,320244.399130877,98.6943006066,320244.39532875805,3.7160414208,0.0038021188694983997,96.23490228696436,308453.90319628286,2.5891965285999996,11790.495934594073,144319.37317224528,144314.75,0.289074092,-22842.976,-22837.935476705512,-167157.72
9,24000,695338.6537271847,396.4708044596,695338.6449226721,13.0907432548,0.008804512792266999,96.69826331800918,662673.1977170839,9.9087477494,32665.45601010092,80817.79165244816,0.0,1.1646139559999997,0.0,-198646.97018002247,0.0
10,30000,645757.1237980751,617.5483963642,645757.1714546485,18.330092048799997,0.0476565733319148,97.0317322989247,582696.7582759522,15.276030734599999,63060.365522122884,-150638.03819430893,30000.0,1.8093078866000003,0.0,-723385.1838458031,0.0
11,48000,1292703.7235568187,1587.8828656718001,1292703.6918861012,49.895603552400004,0.0316707173362374,96.8579158861151,1252834.5707782146,38.6243109698,39869.15277860341,-2434494.9290855806,48000.0,4.621198488599999,0.0,-3091398.0366480732,0.0
