File,Reciprocal Energy,Reciprocal Energy Integral,Error,Reciprocal Energy FFT,Error,diff_insame_FFT,matlab,error_BandH
POSCAR1,2.940559737730940,2.940559737850580,0.000000000119640,2.931023022416920,0.009536715314017,2.931011512808870,2.940559519644770,2.18086171788201E-07
POSCAR2,38.007145200111500,38.007134113502400,0.000011086609064,21.077736355408100,16.929408844703400,21.077713110272800,38.007140672159900,4.52795159588959E-06
POSCAR3,39.879633303753600,39.879633486808000,0.000000183054375,19.065183727968000,20.814449575785600,19.065156447080100,39.879628611923900,4.69182972295812E-06
POSCAR4,50.708136907142900,50.708136907460100,0.000000000317286,0.107466190151675,50.600670716991200,0.104489842052293,50.708131100399600,5.80674326755570E-06
POSCAR5,2.033651950916560,2.033651951034880,0.000000000118321,2.033634910278920,0.000017040637637,2.033631508712740,2.033651841689930,1.09226629074755E-07
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,kcl168,,,,,,,
,1.3,-0.023515810149715,-0.023515806681092,3.47E-09,,,,
,4.3,3.54E-05,0.000035446920566,1.23E-11,,,,
,,1912.04356917541,1912.04380909248,2.40E-04,,,,
